cust_no,age_gender,update_dt
13469,30대 F,20180829
13564,50대이상 M,20180829
14592,40대 F,20180829
14618,50대이상 M,20180829
15029,20대 M,20180829
15178,40대 F,20180829
15274,30대 M,20180829
15678,40대 M,20180829
16001,40대 M,20180829
16001,40대 M,20180829
16294,50대이상 M,20180829
16295,30대 F,20180829
16313,30대 M,20180829
16420,40대 M,20180829
16459,30대 F,20180829
16961,30대 F,20180829
17252,30대 M,20180829
17917,30대 F,20180829
17964,50대이상 M,20180829
18079,30대 F,20180829
18434,50대이상 M,20180829
18442,30대 F,20180829
18487,30대 M,20180829
19046,30대 F,20180829
00304,30대 F,20180829
00506,40대 M,20180829
00609,30대 F,20180829
01395,40대 F,20180829
01406,40대 M,20180829
01440,20대 M,20180829
01562,30대 F,20180829
01562,30대 F,20180829
01686,20대 M,20180829
01775,20대 M,20180829
01918,30대 F,20180829
02069,30대 F,20180829
02360,40대 F,20180829
02613,30대 F,20180829
02952,30대 F,20180829
03021,30대 F,20180829
03299,30대 F,20180829
03375,50대이상 M,20180829
03493,30대 M,20180829
03881,50대이상 M,20180829
04049,50대이상 M,20180829
04275,40대 M,20180829
04492,20대 M,20180829
04531,20대 F,20180829
04761,30대 F,20180829
05514,50대이상 M,20180829
05533,30대 M,20180829
05533,30대 M,20180829
05656,40대 F,20180829
05813,50대이상 M,20180829
05970,20대 M,20180829
06219,30대 F,20180829
06410,30대 F,20180829
06799,30대 F,20180829
06799,30대 F,20180829
06918,20대 M,20180829
07127,30대 F,20180829
07129,20대 F,20180829
07830,20대 M,20180829
07880,30대 M,20180829
07934,20대 M,20180829
08232,30대 F,20180829
08315,40대 M,20180829
08351,30대 F,20180829
08516,50대이상 M,20180829
08626,30대 F,20180829
08791,20대 M,20180829
08900,40대 F,20180829
08945,20대 F,20180829
08965,30대 F,20180829
09461,30대 M,20180829
09472,40대 M,20180829
09544,50대이상 M,20180829
09791,30대 F,20180829
09966,50대이상 M,20180829
10216,40대 F,20180829
10336,30대 M,20180829
10932,40대 M,20180829
11736,20대 F,20180829
11846,50대이상 M,20180829
12034,50대이상 M,20180829
12341,40대 F,20180829
12745,30대 F,20180829
12999,30대 M,20180829
13344,30대 F,20180829
13682,50대이상 M,20180829
13759,30대 F,20180829
13759,30대 F,20180829
14178,30대 F,20180829
14711,20대 M,20180829
14990,30대 F,20180829
14990,30대 F,20180829
15053,30대 F,20180829
15221,50대이상 M,20180829
15525,30대 F,20180829
15594,30대 F,20180829
15701,50대이상 M,20180829
15741,30대 F,20180829
15906,20대 M,20180829
16038,40대 F,20180829
16063,50대이상 M,20180829
16360,30대 F,20180829
16496,50대이상 M,20180829
16834,50대이상 M,20180829
16965,30대 M,20180829
17431,50대이상 M,20180829
17536,30대 F,20180829
17757,30대 M,20180829
17991,40대 M,20180829
18130,30대 F,20180829
18703,50대이상 M,20180829
00084,30대 F,20180829
00113,40대 M,20180829
00409,50대이상 M,20180829
00711,30대 F,20180829
00711,30대 F,20180829
00990,30대 M,20180829
01210,30대 F,20180829
01499,20대 M,20180829
02082,40대 M,20180829
02082,40대 M,20180829
02557,50대이상 M,20180829
02631,30대 F,20180829
02639,30대 M,20180829
02853,40대 F,20180829
02953,30대 F,20180829
03300,30대 F,20180829
03344,30대 F,20180829
03747,40대 M,20180829
03787,30대 M,20180829
03797,30대 F,20180829
04312,20대 M,20180829
05092,40대 F,20180829
05147,30대 F,20180829
05881,30대 F,20180829
06116,20대 F,20180829
06181,50대이상 M,20180829
06338,40대 F,20180829
06451,40대 F,20180829
06493,30대 F,20180829
06523,30대 M,20180829
06540,30대 F,20180829
06676,50대이상 M,20180829
06676,50대이상 M,20180829
06730,40대 M,20180829
06763,40대 F,20180829
06763,40대 F,20180829
06946,40대 F,20180829
07286,20대 M,20180829
07491,20대 M,20180829
07599,30대 F,20180829
07928,40대 M,20180829
08302,30대 F,20180829
08362,30대 F,20180829
09100,40대 F,20180829
09150,30대 F,20180829
09369,20대 M,20180829
09733,30대 F,20180829
09874,30대 F,20180829
09953,20대 M,20180829
10180,30대 M,20180829
10180,30대 M,20180829
10400,40대 M,20180829
10418,50대이상 M,20180829
10579,40대 M,20180829
10692,30대 M,20180829
10710,20대 M,20180829
10710,20대 M,20180829
10721,30대 F,20180829
10739,30대 M,20180829
11147,40대 M,20180829
11185,30대 F,20180829
11518,40대 M,20180829
11618,30대 F,20180829
11782,30대 F,20180829
12036,50대이상 M,20180829
12188,20대 F,20180829
12448,30대 M,20180829
12547,40대 F,20180829
12731,40대 F,20180829
12858,20대 F,20180829
12894,50대이상 M,20180829
13151,40대 F,20180829
13151,40대 F,20180829
13328,20대 M,20180829
13626,30대 F,20180829
13642,50대이상 M,20180829
13838,40대 F,20180829
13838,40대 F,20180829
13916,30대 M,20180829
13960,40대 M,20180829
14391,50대이상 M,20180829
14511,30대 F,20180829
14851,50대이상 M,20180829
14979,30대 F,20180829
15003,30대 M,20180829
15167,20대 F,20180829
15570,40대 F,20180829
15639,50대이상 M,20180829
15923,30대 F,20180829
16034,40대 F,20180829
17080,50대이상 M,20180829
17518,30대 F,20180829
17710,50대이상 M,20180829
17710,50대이상 M,20180829
17949,20대 M,20180829
17949,20대 M,20180829
18739,30대 M,20180829
18806,40대 M,20180829
18806,40대 M,20180829
00142,30대 M,20180829
00405,30대 M,20180829
00789,20대 M,20180829
00865,40대 F,20180829
01074,40대 F,20180829
01074,40대 F,20180829
01126,20대 F,20180829
01126,20대 F,20180829
01126,20대 F,20180829
01953,30대 F,20180829
02202,30대 F,20180829
02512,50대이상 M,20180829
03080,30대 F,20180829
03080,30대 F,20180829
03213,40대 M,20180829
03515,40대 M,20180829
03607,30대 F,20180829
03625,40대 M,20180829
04403,40대 F,20180829
04694,40대 F,20180829
04968,30대 F,20180829
04985,30대 F,20180829
05164,30대 M,20180829
05196,40대 F,20180829
05256,20대 M,20180829
05634,30대 M,20180829
05686,40대 M,20180829
05699,30대 M,20180829
05931,20대 F,20180829
05999,20대 F,20180829
06182,30대 F,20180829
06659,40대 M,20180829
06723,20대 M,20180829
06792,50대이상 M,20180829
06804,30대 F,20180829
06815,40대 M,20180829
06973,30대 M,20180829
07289,20대 M,20180829
07570,30대 F,20180829
07570,30대 F,20180829
